單字,翻譯
AI,(n.)人工智慧 (artificial intelligence)
Antarctic,(n.)南極區
April,(n.)四月
Arctic,(n.)北極地帶、北極圈
August,(n.)八月
BBQ,(v.)烤肉 barbecue
Bible,(n.)聖經
CD,(n.)激光唱片
Centigrade,(n.)攝氏度
China,(n.)中國
Christmas,(n.)耶誕節
Coke,(n.)可口可樂
Confucius,(n.)孔子
December,(n.)十二月
English,(adj.)英格蘭的、英國的、英國人的、英語的
English,(n.)英語
Fahrenheit,(n.)華氏溫標
February,(n.)二月
Friday,(n.)星期五
Internet,(n.)網際網路
January,(n.)一月
July,(n.)七月
June,(n.)六月
Mandarin,(n.)中國的官話(北京話)
March,(n.)三月
May,(n.)五月
Monday,(n.)星期一
November,(n.)十一月
O.K.,(adj.)可以的、不錯的、很好的
O.K.,(v.)尚可、挺好、批准
O.K.,(n.)認可、批准
O.K.,(adv.)尚可、挺好、對吧
OK,(adv.)尚可、挺好、對吧
OK,(n.)認可、批准
OK,(adj.)好吧
OK,(v.)尚可、挺好、批准
October,(n.)十月
Saturday,(n.)星期六
September,(n.)九月
Sunday,(n.)星期日
T-shirt,(n.)短袖圓領運動衫
Thursday,(n.)星期四
Tuesday,(n.)星期二
Wednesday,(n.)星期三
X-ray,(n.)X光照片
Xerox,(n.)複印件
Xmas,(n.)耶誕節 (=Christmas)
abandon,(v.)放棄
abbreviate,(v.)縮寫
abbreviation,(n.)縮寫、省略
abdomen,(n.)下腹
abide,(v.)忍受、等候
ability,(n.)能力、專門技能
able,(adj.)能、有能力的
abnormal,(adj.)不正常的
aboard,(adv.)在船(或飛機、車)上、上船(或飛機、車)
aboard,(prep.)上(船、飛機、車)、在(船、飛機、車)上
abolish,(v.)廢除、廢止
aboriginal,(adj.)土著的、土著居民的
aboriginal,(n.)土著居民、 土生動物(或植物)
aborigine,(n.)土著居民
abortion,(n.)墮胎
abound,(v.)大量存在、富足、充滿
about,(prep.)大約、關於
about,(adv.)在四周、在附近、大約
above,(prep.)在…之上
above,(adj.)上文的、前述的
above,(adv.)在上面、在上文、更高
abroad,(adv.)在國外
abrupt,(adj.)突然的、意外的
absence,(n.)缺席
absent,(adj.)缺席的、不在場的
absent,(v.)缺席
absentminded,(adj.)心不在焉的、健忘的
absolute,(adj.)絕對的、完全的
absorb,(v.)吸收(液體、氣體、光、聲等)
abstract,(adj.)抽象的
abstraction,(n.)抽象
absurd,(adj.)荒謬的、愚蠢的
abundance,(n.)豐富、充足
abundant,(adj.)大量的、充足的、 豐富的
abuse,(v.)濫用、虐待
abuse,(n.)濫用、虐待
academic,(adj.)學術的
academy,(n.)學院、大學、研究院
accelerate,(v.)加快、增長
acceleration,(n.)加速、促進
accent,(n.)重音、腔調
accept,(v.)接受
acceptable,(adj.)可以接受的、令人滿意的
acceptance,(n.)接受、領受、(票據等的)承兌、認付
access,(v.)取出(資料)、使用、接近
access,(n.)通道、入口、門路
accessible,(adj.)可(或易)接近的、可(或易)得到的
accessory,(n.)附件、配件、從犯
accessory,(adj.)附加的、附屬的
accident,(n.)事故、災禍
accidental,(adj.)偶然的、意外的
accommodate,(v.)能容納、能提供...膳宿、給...方便
accommodation,(n.)適應、方便設施、住處
accompany,(v.)陪同、伴隨
accomplish,(v.)完成、實現、達到
accomplishment,(n.)成就、成績、造詣、實現
accord,(v.)(與...)一致、調解
accord,(n.)一致、符合
accordance,(n.)一致、和諧、符合
according to,(prep.)根據、按照
accordingly,(adv.)照著、相應地、因此
account,(n.)帳目、描述
account,(v.)把...視為、說明
accountable,(adj.)應負責任的、可說明的
accountant,(n.)會計師
accounting,(n.)會計、會計學
accumulate,(v.)累積、積聚
accumulation,(n.)累積、積聚
accuracy,(n.)正確(性)、準確(性)
accurate,(adj.)準確的
accusation,(n.)指控、指責
accuse,(v.)指控
accustom,(v.)使習慣於
ace,(n.)(紙牌)A、么點牌、專家、發球得分
ace,(adj.)第一流的、突出的
ache,(v.)(持續性地)疼痛、渴望
ache,(n.)(持續性地)疼痛
achieve,(v.)實現
achievement,(n.)成就
acid,(n.)(化學)酸
acid,(adj.)酸性的、有酸味的
acknowledge,(v.)承認
acknowledgement,(n.)承認、確認、致謝、回音、公證狀
acne,(n.)粉刺
acquaint,(v.)使認識、使熟悉
acquaintance,(n.)相識的人
acquire,(v.)取得、獲得
acquisition,(n.)收購、取得
acre,(n.)英畝
across,(prep.)橫越、穿過
across,(adv.)橫過、寬、在對面、向對面
act,(n.)行動、法案
act,(v.)扮演
action,(n.)動作
active,(adj.)活躍的
activist,(n.)激進主義份子、行動主義者
activity,(n.)活動
actor,(n.)男演員
actress,(n.)女演員
actual,(adj.)實際的、事實上的
acute,(adj.)尖銳的、敏銳的、劇烈的
ad,(n.)廣告
adapt,(v.)使適應、使適合
adaptation,(n.)適應、改寫
add,(v.)添加
addict,(v.)使沈溺、使成癮
addict,(n.)入迷的人、有癮的人
addiction,(n.)沈溺、上癮
addition,(n.)加、附加
additional,(adj.)附加的、額外的
address,(v.)寫上收件人姓名地址、向...致詞
address,(n.)地址、 演說
adequate,(adj.)足夠的
adjective,(n.)形容詞
adjust,(v.)校準、調整、適應
adjustment,(n.)調節、調整
administer,(v.)管理、給予、執行
administrate,(v.)管理、支配
administration,(n.)管理、經營、管理部門
administrative,(adj.)管理的、行政的
administrator,(n.)管理人、行政官員
admirable,(adj.)值得讚揚的、絕妙的
admiral,(n.)艦隊司令、 海軍上將
admiration,(n.)欽佩、羨慕
admire,(v.)欽佩、欣賞
admission,(n.)進入許可、入場費、承認
admit,(v.)承認、准許進入、可容納
adolescence,(n.)青春期
adolescent,(adj.)青少年的、未成熟的
adolescent,(n.)青少年
adopt,(v.)採納、收養、接受
adore,(v.)崇拜、愛慕
adult,(adj.)成年的、成熟的、色情的
adult,(n.)成年人
adulthood,(n.)成年(期)
advance,(v.)推進、提升、貸(款)
advance,(n.)前進、發展、預付
advanced,(adj.)先進的、高等的
advantage,(n.)優點、優勢、利益
adventure,(n.)冒險、冒險活動
adverb,(n.)副詞
advertise,(v.)為...做廣告、公佈
advertisement,(n.)廣告
advertiser,(n.)刊登廣告者、廣告客戶
advice,(n.)忠告
advise,(v.)勸告
adviser,(n.)顧問、指導教授
advisor,(n.)adviser
advocate,(v.)擁護、提倡
advocate,(n.)提倡者、擁護者
affair,(n.)事件、風流韻事、喜慶活動
affect,(v.)影響
affection,(n.)愛慕、鍾愛
affectionate,(adj.)充滿深情的、溫柔親切的
affirm,(v.)斷言、申明、堅稱
afford,(v.)買得起
afraid,(adj.)害怕
after,(prep.)在…之後
after,(adv.)以後、之後、在後面、隨後
after,(conj.)在...之後
afternoon,(n.)下午、午後
afterward,(adv.)之後、以後、後來
afterwards,(adv.)之後、後來
again,(adv.)再一次
against,(prep.)反對
age,(v.)使變老、使(酒之)味道變醇、使成熟
age,(n.)年齡
agency,(n.)仲介、代理
agenda,(n.)議程
agent,(n.)代理人、代理商
aggression,(n.)侵略、侵犯行為
aggressive,(adj.)好鬥的、挑釁的、有進取精神的
ago,(adv.)以前
agony,(n.)極度痛苦
agree,(v.)同意
agreeable,(adj.)欣然贊同的
